Lat,Lon,CDD,HDD
40.719360,-74.004842,1241.051514,4502.415527
40.822307,-73.864952,1136.768311,4632.115234
40.762106,-73.973040,1253.947266,4468.735352
40.746057,-73.926216,1310.610718,4415.648926
40.848351,-73.915298,1088.174927,4749.377930
40.879139,-73.899174,1019.952881,4891.804688
40.821876,-73.912339,1172.638306,4597.096191
40.863699,-73.906566,1088.174927,4749.377930
40.879386,-73.880541,1019.952881,4891.804688
40.868373,-73.867626,1058.876709,4771.130859
40.881022,-73.905021,1019.952881,4891.804688
40.737359,-74.000151,1241.051514,4502.415527
40.810924,-73.916077,1172.638306,4597.096191
40.713932,-74.008215,1241.051514,4502.415527
40.710173,-74.006187,1241.051514,4502.415527
40.770257,-73.961074,1253.947266,4468.735352
40.599937,-73.965036,1271.081543,4461.968262
40.811324,-73.937568,1199.753662,4563.494629
40.879701,-73.828488,974.473999,4933.388672
40.771517,-73.981406,1253.947266,4468.735352
40.651731,-73.961744,1272.350342,4478.152832
40.754435,-73.979694,1253.947266,4468.735352
40.753767,-73.994555,1253.947266,4468.735352
40.881412,-73.917959,1032.977417,4875.513672
40.755470,-73.976723,1253.947266,4468.735352
40.751028,-73.895498,1232.920654,4501.563477
40.837164,-73.943902,1112.312378,4719.492188
40.676852,-73.958329,1292.430786,4434.958008
40.842694,-73.942581,1112.312378,4719.492188
40.746670,-73.921508,1310.610718,4415.648926
40.744621,-74.005062,1241.051514,4502.415527
40.614513,-74.036949,1274.330444,4446.107910
40.614737,-73.954725,1247.323730,4469.472168
40.870138,-73.894568,1088.174927,4749.377930
40.905438,-73.849848,980.428955,4930.490723
40.796291,-73.949035,1199.753662,4563.494629
40.751802,-73.989128,1253.947266,4468.735352
40.856683,-73.856375,1058.876709,4771.130859
40.725908,-73.995788,1299.786743,4421.714355
40.786988,-73.978792,1253.947266,4468.735352
40.735802,-73.860797,1207.817017,4525.531250
40.754032,-73.827198,1127.208496,4611.164062
40.809749,-73.957546,1199.753662,4563.494629
40.749693,-73.990558,1299.786743,4421.714355
40.705860,-74.004438,1250.875000,4487.589844
40.847157,-73.910198,1088.174927,4749.377930
40.858042,-73.895291,1088.174927,4749.377930
40.721075,-74.008685,1241.051514,4502.415527
40.781333,-73.959200,1253.947266,4468.735352
40.745172,-73.917947,1310.610718,4415.648926
40.703209,-73.805745,1135.361328,4580.833984
40.625446,-73.935250,1261.567505,4476.884766
40.638167,-73.992035,1272.350342,4478.152832
40.757218,-73.969194,1253.947266,4468.735352
40.859056,-73.901657,1088.174927,4749.377930
40.637307,-74.028740,1244.426758,4484.958008
40.757874,-73.992271,1253.947266,4468.735352
40.773663,-73.979206,1253.947266,4468.735352
40.763722,-73.927523,1271.116577,4458.273926
40.762220,-73.969314,1253.947266,4468.735352
40.771864,-73.957015,1271.116577,4458.273926
40.757850,-73.966793,1253.947266,4468.735352
40.726053,-73.845715,1207.817017,4525.531250
40.739848,-73.987009,1299.786743,4421.714355
40.789965,-73.971488,1253.947266,4468.735352
40.779313,-73.912505,1232.920654,4501.563477
40.738369,-73.917180,1310.610718,4415.648926
